Vice County,English Name,Irish Name,MM Min Eastings,MM Min Northings,MM Max Eastings,MM Max Northings,Irish Grid Min Eastings,Irish Grid Min Northings,Irish Grid Max Eastings,Irish Grid Max Northings,Irish Gird BL,Irish Grid TR,Width (m),Height (m),Scale X mm (250k),Scale Y mm (250k),Postgis Polygon,,,
H01,South Kerry,,-160000,200000,-50000,290000,20000,40000,130000,130000,V2040,R3030,110000,90000,440,360,,"st_setsrid(st_makebox2d(st_makepoint(20000,40000),st_makepoint(130000,130000)),29902)",,"insert into ir_vc_box values(1,'South Kerry',st_setsrid(st_makebox2d(st_makepoint(20000,40000),st_makepoint(130000,130000)),29902));"
H02,North Kerry,,-180000,220000,-40000,320000,0,60000,140000,160000,V0060,R4060,140000,100000,560,400,,"st_setsrid(st_makebox2d(st_makepoint(0,60000),st_makepoint(140000,160000)),29902)",,"insert into ir_vc_box values(2,'North Kerry',st_setsrid(st_makebox2d(st_makepoint(0,60000),st_makepoint(140000,160000)),29902));"
H03,West Cork,,-160000,170000,0,290000,20000,10000,180000,130000,V2010,R7030,160000,120000,640,480,,"st_setsrid(st_makebox2d(st_makepoint(20000,10000),st_makepoint(180000,130000)),29902)",,"insert into ir_vc_box values(3,'West Cork',st_setsrid(st_makebox2d(st_makepoint(20000,10000),st_makepoint(180000,130000)),29902));"
H04,Mid Cork,,-80000,190000,20000,300000,100000,30000,200000,140000,W0030,S0000,100000,110000,400,440,,"st_setsrid(st_makebox2d(st_makepoint(100000,30000),st_makepoint(200000,140000)),29902)",,"insert into ir_vc_box values(4,'Mid Cork',st_setsrid(st_makebox2d(st_makepoint(100000,30000),st_makepoint(200000,140000)),29902));"
H05,East Cork,,-40000,200000,50000,300000,140000,40000,230000,140000,W4040,S3040,90000,100000,360,400,,"st_setsrid(st_makebox2d(st_makepoint(140000,40000),st_makepoint(230000,140000)),29902)",,"insert into ir_vc_box values(5,'East Cork',st_setsrid(st_makebox2d(st_makepoint(140000,40000),st_makepoint(230000,140000)),29902));"
H06,Waterford,,-10000,220000,110000,300000,170000,60000,290000,140000,W7060,S9040,120000,80000,480,320,,"st_setsrid(st_makebox2d(st_makepoint(170000,60000),st_makepoint(290000,140000)),29902)",,"insert into ir_vc_box values(6,'Waterford',st_setsrid(st_makebox2d(st_makepoint(170000,60000),st_makepoint(290000,140000)),29902));"
H07,South Tipperary,,-20000,250000,80000,350000,160000,90000,260000,190000,W6090,S6090,100000,100000,400,400,,"st_setsrid(st_makebox2d(st_makepoint(160000,90000),st_makepoint(260000,190000)),29902)",,"insert into ir_vc_box values(7,'South Tipperary',st_setsrid(st_makebox2d(st_makepoint(160000,90000),st_makepoint(260000,190000)),29902));"
H08,Limerick,,-90000,260000,20000,340000,90000,100000,200000,180000,Q9000,S0080,110000,80000,440,320,,"st_setsrid(st_makebox2d(st_makepoint(90000,100000),st_makepoint(200000,180000)),29902)",,"insert into ir_vc_box values(8,'Limerick',st_setsrid(st_makebox2d(st_makepoint(90000,100000),st_makepoint(200000,180000)),29902));"
H09,Clare,,-130000,290000,20000,390000,50000,130000,200000,230000,Q5030,N0300,150000,100000,600,400,,"st_setsrid(st_makebox2d(st_makepoint(50000,130000),st_makepoint(200000,230000)),29902)",,"insert into ir_vc_box values(9,'Clare',st_setsrid(st_makebox2d(st_makepoint(50000,130000),st_makepoint(200000,230000)),29902));"
H10,North Tipperary,,-30000,280000,60000,390000,150000,120000,240000,230000,R5020,N4030,90000,110000,360,440,,"st_setsrid(st_makebox2d(st_makepoint(150000,120000),st_makepoint(240000,230000)),29902)",,"insert into ir_vc_box values(10,'North Tipperary',st_setsrid(st_makebox2d(st_makepoint(150000,120000),st_makepoint(240000,230000)),29902));"
H11,Kilkenny,,30000,260000,110000,360000,210000,100000,290000,200000,S1000,N9000,80000,100000,320,400,,"st_setsrid(st_makebox2d(st_makepoint(210000,100000),st_makepoint(290000,200000)),29902)",,"insert into ir_vc_box values(11,'Kilkenny',st_setsrid(st_makebox2d(st_makepoint(210000,100000),st_makepoint(290000,200000)),29902));"
H12,Wexford,,70000,240000,160000,350000,250000,80000,340000,190000,X5080,T4090,90000,110000,360,440,,"st_setsrid(st_makebox2d(st_makepoint(250000,80000),st_makepoint(340000,190000)),29902)",,"insert into ir_vc_box values(12,'Wexford',st_setsrid(st_makebox2d(st_makepoint(250000,80000),st_makepoint(340000,190000)),29902));"
