Datura ferox	ARG(BAI, CAT, CHA, CHU, COR, COS, DFE, ERI, FOR, JUJ, LPA, LRI, MIS, NEU, SAL, SLU, SFE, SDE, TUC) / CHL(ATA, COQ, LBO, MAU, BIO, LLA, RME) / PRY(ÑEE) / URY(CAS, COL, FLA, MON, SJO)
Datura inoxia	ARG(BAI, CAT, CHA, CHU, COR, COS, ERI, FOR, JUJ, LRI, MEN, MIS, RNE, SAL, SJU, SLU, SDE, TUC) / CHL(ANT) / PRY(APY, CON, PAI) / URY(ART)
Datura stramonium	ARG(BAI, COS, NEU, SAL, SJU) / BRA(SCA) / CHL(TAR, ANT, COQ, VAL, LBO, MAU, BIO, ARA, RME, JFE)
Daucus carota	ARG(BAI, COS, NEU, RNE, SLU) / BRA(RGS, SCA) / CHL(VAL, LBO, MAU, BIO, ARA, LLA, RME, IPA) / URY(MON)
Daucus montanus	ARG(CHU, JUJ, LPA, NEU, RNE, SAL, TDF) / CHL(ANT, COQ, VAL, MAU, LLA, AIS, MAG, JFE)
Daucus pusillus	ARG(BAI, CHU, COR, COS, ERI, LPA, MIS, NEU, RNE, SDE, SFE, SLU) / BRA(PAR, RGS, SCA) / CHL(COQ, VAL, LBO, MAU, BIO, LLA, AIS, RME) / URY(ART, CAS, CLA, COL, FLA, LAV, MAL, MON, SAO, SJO, SOR, TAC)
Davilla elliptica	BRA(Fuera del área del proyecto) / PRY(CAN)
Davilla grandiflora	BRA(Fuera del área del proyecto) / PRY(AMA)
Davilla rugosa var. rugosa	BRA(PAR, SCA) / PRY(AMA, CAN)
Declieuxia cordigera var. angustifolia	BRA(PAR, SCA)
Declieuxia dusenii	BRA(PAR, SCA)
Declieuxia fruticosa	BRA(PAR) / PRY(AMA, CON)
Delairea odorata	ARG(BAI, COR, LPA) / CHL(VAL, BIO, LLA, JFE) / URY(CAS, MON)
Delilia biflora	ARG(JUJ, SAL) / BRA(Fuera del área del proyecto)
Delpinophytum patagonicum	ARG(CHU, SCR)
Dendropanax affinis	ARG(COS, MIS) / BRA(Fuera del área del proyecto) / PRY(AMA, COA, SPE)
Dendropanax cuneatus	ARG(COS, MIS) / BRA(PAR, RGS) / PRY(APA, AMA, CAU, CAN, CEN, COA, GUA, PAI, SPE)
Dendropanax monogynum	BRA(PAR, SCA)
Dendrophorbium bomanii	ARG(CAT, JUJ, SAL, TUC)
Dendrophorbium catharinense	ARG(MIS) / BRA(SCA)
Dendrophorbium peregrinum	ARG(CAT, JUJ, SAL, TUC)
Dendrophorbium pluricephalum	ARG(MIS) / BRA(PAR, RGS, SCA) / PRY(GUA, PAI)
Dendrophorbium subnemoralis	BRA(PAR, RGS, SCA)
Dendroseris berteroana	CHL(JFE)
Dendroseris gigantea	CHL(JFE)
Dendroseris litoralis	CHL(JFE)
Dendroseris macrantha	CHL(JFE)
Dendroseris macrophylla	CHL(JFE)
Dendroseris marginata	CHL(JFE)
Dendroseris micrantha	CHL(JFE)
Dendroseris neriifolia	CHL(JFE)
Dendroseris pinnata	CHL(JFE)
Dendroseris pruinata	CHL(JFE)
Dendroseris regia	CHL(JFE)
Denmoza rhodacantha	ARG(CAT, LRI, MEN, SAL, SJU, TUC)
Dennstaedtia cicutaria	ARG(JUJ, MIS, SAL, TUC) / BRA(PAR, RGS, SCA) / PRY(APA, CAA, COA)
Dennstaedtia dissecta	ARG(MIS) / BRA(PAR)
Dennstaedtia glauca	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(COQ, VAL, LBO, MAU, RME)
Dennstaedtia globulifera	ARG(CHA, COR, JUJ, MIS, SAL, TUC) / BRA(PAR, RGS, SCA) / PRY(APA, CAA, CAN, COA) / URY(CLA, PAY, RIV, TAC)
Dennstaedtia obtusifolia	BRA(PAR, RGS, SCA) / PRY(CEN, COA, MIE, PAI)
Deparia petersenii	ARG(MIS) / BRA(PAR, RGS) / PRY(CAA)
Deppea blumenaviensis	ARG(MIS) / BRA(PAR, RGS, SCA)
Deschampsia airiformis	ARG(CHU, NEU, RNE) / CHL(ARA, LLA, RME)
Deschampsia antarctica	ARG(CHU, MEN, RNE, SCR, TDF) / CHL(MAU, ARA, MAG, RME)
Deschampsia berteroana	ARG(MEN) / CHL(COQ, VAL, LBO, MAU, BIO, LLA, MAG, RME)
Deschampsia caespitosa var. caespitosa	ARG(CHU, MEN, NEU, RNE, SJU, SCR, TDF) / BRA(PAR, RGS, SCA) / CHL(COQ, MAU, ARA, AIS, MAG, RME)
Deschampsia caespitosa var. pulchra	ARG(CHU, MEN, NEU, SJU) / CHL(LBO, BIO)
Deschampsia cordillerarum	ARG(MEN) / CHL(COQ, VAL, RME)
