Urtica dioica	ARG(COR) / CHL(BIO, ARA, LLA)
Urtica echinata	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(TAR, ANT)
Urtica flabellata	ARG(JUJ) / CHL(TAR)
Urtica glomeruliflora	CHL(JFE)
Urtica gracilis ssp. mollis	ARG(BAI, CAT, CHA, CHU, COR, JUJ, LRI, MEN, NEU, RNE, SAL, SJU, TUC) / CHL(ANT, ATA, COQ, VAL, LBO, MAU, ARA, LLA, AIS, MAG, RME)
Urtica lilloi	ARG(CAT, JUJ, SAL, TUC)
Urtica magellanica	ARG(CHU, NEU, RNE, SCR, TDF) / CHL(COQ, VAL, LBO, MAU, BIO, ARA, LLA, AIS, MAG, RME)
Urtica masafuerae	CHL(JFE)
Urtica spatulata	ARG(BAI, CAT, COR, COS, DFE, ERI, LPA, SCR, SDE, SFE, SLU, TUC) / BRA(PAR) / PRY(CEN) / URY(CLA, FLO, MON, SJO)
Urtica trichantha	CHL(TAR, ANT)
Urtica urens	ARG(BAI, CAT, COR, COS, DFE, ERI, JUJ, LPA, LRI, MEN, MIS, NEU, RNE, SJU, SLU, SCR, SFE, SDE, TDF, TUC) / BRA(SCA) / CHL(TAR, ANT, COQ, VAL, LBO, MAU, BIO, ARA, LLA, MAG, RME, JFE) / URY(CAS, FLA, MON, RNO, SOR)
Urvillea chacoënsis	ARG(CAT, CHA, COR, COS, FOR, JUJ, LRI, SAL, SDE, SJU, TUC) / BRA(Fuera del área del proyecto) / PRY(APY, CEN, PHA)
Urvillea filipes	BRA(PAR) / PRY(APY, AMA, CON, PHA)
Urvillea glabra	BRA(PAR, RGS, SCA)
Urvillea laevis	ARG(MIS) / BRA(PAR, SCA) / PRY(APY, APA, PAI)
Urvillea triphylla	BRA(PAR, RGS, SCA)
Urvillea ulmacea	ARG(JUJ, MIS, SAL) / BRA(PAR, RGS, SCA) / PRY(APY, APA, AMA, CAU, CAN, CEN, CON, COA, GUA, PAI, SPE)
Urvillea uniloba	ARG(BAI, COS, DFE, ERI, MIS, SFE) / BRA(RGS, SCA) / PRY(APA, ITA, PAI) / URY(ART, DUR, MON, PAY, RNO, ROC, SAO, SOR, TAC)
Utricularia breviscapa	ARG(COS) / BRA(Fuera del área del proyecto) / PRY(CEN, CON)
Utricularia cucullata	BRA(PAR)
Utricularia erectiflora	BRA(SCA)
Utricularia foliosa	ARG(CHA, COS, FOR, MIS, SFE) / BRA(PAR, RGS, SCA) / PRY(APY, BOQ, CEN, CON, COA, ÑEE, PHA) / URY(ROC)
Utricularia gibba	ARG(BAI, CAT, CHA, COR, COS, ERI, FOR, JUJ, MIS, SAL, SFE, SJU, TUC) / BRA(PAR, RGS, SCA) / CHL(ATA, COQ, MAU, BIO, ARA, LLA) / PRY(APY, CEN, CON, COA, ITA, PHA) / URY(COL, ROC)
Utricularia laxa	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(COA, GUA, PAI) / URY(RNO)
Utricularia myriocista	ARG(COS) / BRA(Fuera del área del proyecto)
Utricularia nana	BRA(PAR) / PRY(Desconocida)
Utricularia nervosa	ARG(COS, FOR, MIS) / BRA(PAR, SCA) / PRY(APA, CAU, CAN, CEN, COA, MIE, PAI, SPE) / URY(RIV)
Utricularia nigrescens	BRA(PAR)
Utricularia olivacea	BRA(RGS)
Utricularia platensis	ARG(BAI, CHA, COS, ERI, RNE, SFE) / BRA(RGS) / PRY(CAU) / URY(CAS, COL, ROC)
Utricularia poconensis	ARG(CHA, COS) / BRA(Fuera del área del proyecto)
Utricularia praelonga	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(APY, AMA, CAU, CAA, CEN, COA, GUA, ITA, MIE, PAI, SPE)
Utricularia pusilla	ARG(COS, ERI) / BRA(Fuera del área del proyecto) / PRY(APY, CEN, COA, MIE)
Utricularia reniformis	BRA(PAR, RGS, SCA)
Utricularia simulans	BRA(Fuera del área del proyecto) / PRY(CON)
Utricularia subulata	ARG(COS) / BRA(PAR, RGS, SCA) / PRY(SPE) / URY(CAS)
Utricularia tricolor	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(CAU, CAN, COA, GUA, SPE) / URY(RIV)
Utricularia tridentata	ARG(ERI, MIS) / BRA(PAR, RGS, SCA) / URY(CAS, MON, SJO)
Utricularia triloba	ARG(COS) / BRA(PAR, SCA) / PRY(AMA, COA)
