Lantana trifolia f. trifolia	ARG(COS, FOR, JUJ, MIS, SAL, TUC) / BRA(PAR) / PRY(APY, AMA, CAA, CEN, CON, COA, GUA, ITA, MIE, ÑEE, PAI, SPE)
Lantana trifolia f. hirsuta	ARG(JUJ, SAL)
Lantana undulata	BRA(PAR, SCA)
Lantana velutina	ARG(FOR, SAL) / PRY(APY, PHA)
Lantana xenica	ARG(CAT, COR, LRI, MEN, SJU, SLU, SDE, TUC)
Lanugothamnus albolanosus	BRA(RGS)
Lanugothamnus anabelae	BRA(RGS, SCA)
Lanugothamnus pluricapitulatus	BRA(RGS)
Lapageria rosea	CHL(COQ, VAL, LBO, MAU, BIO, ARA, LLA)
Laportea aestuans	BRA(PAR, SCA)
Lappula redowskii	ARG(CHU, LPA, LRI, MEN, NEU, RNE, SCR, SJU, SLU) / CHL(MAG)
Lapsana communis	ARG(BAI, CAT, COR, NEU) / CHL(COQ, VAL, LBO, MAU, BIO, ARA, LLA, AIS, RME, JFE)
Lardizabala biternata	CHL(VAL, LBO, MAU, BIO, ARA, LLA, RME, JFE)
Larrea ameghinoi	ARG(CHU, NEU, RNE, SCR)
Larrea cuneifolia	ARG(BAI, CAT, CHU, COR, LPA, LRI, MEN, NEU, RNE, SAL, SDE, SJU, SLU, TUC)
Larrea divaricata	ARG(BAI, CAT, CHU, COR, LPA, LRI, MEN, NEU, RNE, SAL, SDE, SJU, SLU, TUC) / CHL(ATA, VAL, BIO, RME)
Larrea nitida	ARG(BAI, CAT, CHU, LPA, LRI, MEN, NEU, RNE, SAL, SJU) / CHL(ATA, COQ, VAL, RME)
Lasiacis divaricata var. austroamericana	ARG(JUJ, MIS, SAL) / BRA(PAR, RGS, SCA) / PRY(APY, APA, AMA, CAU, CAA, GUA, PAI, PHA)
Lasiacis ligulata	BRA(PAR, SCA)
Lasiacis sorghoidea	ARG(CHA, COS, FOR, JUJ, MIS, SAL) / BRA(PAR) / PRY(APA, APY, AMA, BOQ, CAA, CAN, CEN, CON, COA, GUA, ÑEE, PAI, PHA, SPE)
Lastarriaea chilensis	CHL(ATA, COQ, VAL, LBO, RME)
Lasthenia kunthii	ARG(CHU, RNE) / CHL(COQ, VAL, LBO, MAU, BIO, ARA, MAG, RME)
Lastreopsis amplissima	ARG(MIS) / BRA(PAR, RGS, SCA) / PRY(CAA, CAN)
Latace andina f. andina	ARG(JUJ, MEN, NEU, SJU) / CHL(VAL, LBO, LLA, RME)
Latace andina f. lutea	ARG(MEN, NEU) / CHL(VAL, RME)
Latace serenense	CHL(ATA, COQ)
Lathyrus berteroanus	CHL(COQ, VAL, LBO, MAU, BIO, RME)
Lathyrus cabrerianus	ARG(NEU, RNE) / CHL(BIO, ARA, LLA, AIS)
Lathyrus campestris	ARG(CHU) / CHL(MAU, LLA)
Lathyrus cicera	CHL(VAL)
Lathyrus crassipes	ARG(COS) / BRA(RGS) / CHL(BIO, LLA, RME)
Lathyrus cryophilus	ARG(MEN)
Lathyrus elegans	BRA(PAR)
Lathyrus hasslerianus	ARG(MIS) / BRA(PAR, RGS, SCA)
Lathyrus hirsutus var. ecirrhosus	ARG(BAI)
Lathyrus hirsutus var. hirsutus	ARG(BAI) / URY(MON)
Lathyrus hookeri	ARG(BAI, CHU, NEU, RNE, SLU) / BRA(RGS) / CHL(LBO, BIO, RME) / URY(COL, PAY, SOR)
